"","1/21/2019","CORPORACION FAVORITA C.A.","ACCIONES","358","2.72","358","973.76","BVG"
"","1/21/2019","CORPORACION FAVORITA C.A.","ACCIONES","3503","2.68","3503","9388.04","BVG"
"","1/21/2019","CORPORACION FAVORITA C.A.","ACCIONES","961","2.7","961","2594.7","BVG"
"","1/21/2019","CORPORACION FAVORITA C.A.","ACCIONES","1459","2.7","1459","3939.3","BVG"
"","1/22/2019","CORPORACION FAVORITA C.A.","ACCIONES","1088","2.7","1088","2937.6","BVG"
"","1/22/2019","CORPORACION FAVORITA C.A.","ACCIONES","289","2.6","289","751.4","BVG"
"","1/22/2019","CORPORACION FAVORITA C.A.","ACCIONES","500","2.6","500","1300","BVG"
"","","","","","","","",""
"","","","","","","","",""
"","1/22/2019","CORPORACION FAVORITA C.A.","ACCIONES","500","2.68","500","1340","BVG"
"","1/23/2019","CORPORACION FAVORITA C.A.","ACCIONES","219","2.7","219","591.3","BVG"
"","1/23/2019","CORPORACION FAVORITA C.A.","ACCIONES","500","2.7","500","1350","BVG"
"","1/23/2019","CORPORACION FAVORITA C.A.","ACCIONES","6536","2.61","6536","17058.96","BVG"
"","1/23/2019","BANCO GUAYAQUIL S.A.","ACCIONES","2021","0.97","2021","1960.37","BVG"
"","","","","","","","",""
"","1/23/2019","CORPORACION FAVORITA C.A.","ACCIONES","744","2.7","744","2008.8","BVG"
"","1/23/2019","CORPORACION FAVORITA C.A.","ACCIONES","219","2.7","219","591.3","BVG"
"","1/23/2019","BANCO GUAYAQUIL S.A.","ACCIONES","2000","0.97","2000","1940","BVG"
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","1/24/2019","CORPORACION FAVORITA C.A.","ACCIONES","21870","2.72","21870","59486.4","BVG"
"","1/24/2019","BANCO GUAYAQUIL S.A.","ACCIONES","6700","0.97","6700","6499","BVG"
"","1/24/2019","BANCO PICHINCHA C.A.","ACCIONES","500","100","5","500","BVG"
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","1/25/2019","BANCO GUAYAQUIL S.A.","ACCIONES","674","0.97","674","653.78","BVG"
"","1/25/2019","BANCO GUAYAQUIL S.A.","ACCIONES","65","0.97","65","63.05","BVG"
"","1/25/2019","BANCO PICHINCHA C.A.","ACCIONES","4000","99","40","3960","BVG"
"","1/25/2019","CORPORACION FAVORITA C.A.","ACCIONES","100","2.7","100","270","BVG"
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","1/28/2019","HOLCIM ECUADOR S.A.","ACCIONES","60","70","20","1400","BVG"
"","1/28/2019","HOLCIM ECUADOR S.A.","ACCIONES","75","70","25","1750","BVG"
"","1/28/2019","HOLCIM ECUADOR S.A.","ACCIONES","60","70","20","1400","BVG"
"","1/28/2019","HOLCIM ECUADOR S.A.","ACCIONES","45","70","15","1050","BVG"
"","1/28/2019","HOLCIM ECUADOR S.A.","ACCIONES","45","70","15","1050","BVG"
"","1/28/2019","HOLCIM ECUADOR S.A.","ACCIONES","45","70","15","1050","BVG"
"","1/28/2019","HOLCIM ECUADOR S.A.","ACCIONES","45","70","15","1050","BVG"
"","1/28/2019","HOLCIM ECUADOR S.A.","ACCIONES","30","70","10","700","BVG"
"","1/28/2019","HOLCIM ECUADOR S.A.","ACCIONES","30","70","10","700","BVG"
"","1/28/2019","HOLCIM ECUADOR S.A.","ACCIONES","30","70","10","700","BVG"
"","1/28/2019","HOLCIM ECUADOR S.A.","ACCIONES","30","70","10","700","BVG"
"","1/28/2019","HOLCIM ECUADOR S.A.","ACCIONES","21","70","7","490","BVG"
"","1/28/2019","HOLCIM ECUADOR S.A.","ACCIONES","15","70","5","350","BVG"
"","1/28/2019","CORPORACION FAVORITA C.A.","ACCIONES","178","2.7","178","480.6","BVG"
"","1/28/2019","SAN CARLOS SOC. AGR. IND.","ACCIONES","142464","0.7","142464","99724.8","BVG"
"","1/28/2019","SAN CARLOS SOC. AGR. IND.","ACCIONES","142464","0.7","142464","99724.8","BVG"
"","1/28/2019","SAN CARLOS SOC. AGR. IND.","ACCIONES","142464","0.7","142464","99724.8","BVG"
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","1/29/2019","CORPORACION FAVORITA C.A.","ACCIONES","2500","2.62","2500","6550","BVG"
"","","","","","","","",""
"","1/29/2019","BOLSA DE VALORES DE GUAYAQUIL","ACCIONES","3000","1.2","3000","3600","BVG"
"","","","","","","","",""
"","1/29/2019","CORPORACION FAVORITA C.A.","ACCIONES","100","2.71","100","271","BVG"
"","1/29/2019","BANCO PICHINCHA C.A.","ACCIONES","2000","100","20","2000","BVG"
"","1/30/2019","BANCO GUAYAQUIL S.A.","ACCIONES","971","0.96","971","932.16","BVG"
"","1/30/2019","BANCO GUAYAQUIL S.A.","ACCIONES","1334","0.96","1334","1280.64","BVG"
"","1/30/2019","BANCO GUAYAQUIL S.A.","ACCIONES","2665","0.96","2665","2558.4","BVG"
"","1/30/2019","BANCO GUAYAQUIL S.A.","ACCIONES","2024","0.96","2024","1943.04","BVG"
"","1/30/2019","BANCO GUAYAQUIL S.A.","ACCIONES","1676","0.96","1676","1608.96","BVG"
"","1/30/2019","BANCO GUAYAQUIL S.A.","ACCIONES","5309","0.96","5309","5096.64","BVG"
"","","","","","","","",""
"","1/30/2019","SAN CARLOS SOC. AGR. IND.","ACCIONES","32000","0.7","32000","22400","BVG"
"","1/31/2019","CORPORACION FAVORITA C.A.","ACCIONES","957","2.64","957","2526.48","BVG"
"","","","","","","","",""
"","1/31/2019","HOLCIM ECUADOR S.A.","ACCIONES","15","67","5","335","BVG"
"","1/31/2019","CORPORACION FAVORITA C.A.","ACCIONES","40","2.65","40","106","BVG"
"","1/31/2019","CORPORACION FAVORITA C.A.","ACCIONES","108","2.65","108","286.2","BVG"
"","1/31/2019","BANCO GUAYAQUIL S.A.","ACCIONES","961","0.96","961","922.56","BVG"
"","1/31/2019","BOLSA DE VALORES DE GUAYAQUIL","ACCIONES","3000","1.3","3000","3900","BVG"
"","1/31/2019","BANCO PICHINCHA C.A.","ACCIONES","10000","100","100","10000","BVG"
"","2/1/2019","CORPORACION FAVORITA C.A.","ACCIONES","169","2.65","169","447.85","BVG"
"","2/1/2019","CORPORACION FAVORITA C.A.","ACCIONES","4466","2.67","4466","11924.22","BVG"
"","2/1/2019","CORPORACION FAVORITA C.A.","ACCIONES","1000","2.66","1000","2660","BVG"
"","2/1/2019","CORPORACION FAVORITA C.A.","ACCIONES","692","2.7","692","1868.4","BVG"
"","2/1/2019","CORPORACION FAVORITA C.A.","ACCIONES","1500","2.7","1500","4050","BVG"
"","2/1/2019","CORPORACION FAVORITA C.A.","ACCIONES","205","2.7","205","553.5","BVG"
"","2/1/2019","CORPORACION FAVORITA C.A.","ACCIONES","4782","2.7","4782","12911.4","BVG"
"","2/1/2019","CORPORACION FAVORITA C.A.","ACCIONES","11615","2.7","11615","31360.5","BVG"
"","2/1/2019","CORPORACION FAVORITA C.A.","ACCIONES","2500","2.71","2500","6775","BVG"
"","2/1/2019","CORPORACION FAVORITA C.A.","ACCIONES","10000","2.75","10000","27500","BVG"
"","2/1/2019","CORPORACION FAVORITA C.A.","ACCIONES","585","2.75","585","1608.75","BVG"
"","2/1/2019","CORPORACION FAVORITA C.A.","ACCIONES","20000","2.75","20000","55000","BVG"
"","2/1/2019","CORPORACION FAVORITA C.A.","ACCIONES","5000","2.71","5000","13550","BVG"
"","2/1/2019","CORPORACION FAVORITA C.A.","ACCIONES","115","2.76","115","317.4","BVG"
"","2/4/2019","BANCO GUAYAQUIL S.A.","ACCIONES","1053","0.96","1053","1010.88","BVG"
"","2/4/2019","BANCO GUAYAQUIL S.A.","ACCIONES","961","0.96","961","922.56","BVG"
"","2/4/2019","BANCO GUAYAQUIL S.A.","ACCIONES","1075","0.96","1075","1032","BVG"
"","2/4/2019","BANCO GUAYAQUIL S.A.","ACCIONES","6438","0.95","6438","6116.1","BVG"
"","2/4/2019","BANCO GUAYAQUIL S.A.","ACCIONES","10500","0.97","10500","10185","BVG"
"","2/4/2019","BANCO GUAYAQUIL S.A.","ACCIONES","6000","0.98","6000","5880","BVG"
"","2/4/2019","BANCO DE LA PRODUCCION S.A . PRODUBANCO","ACCIONES","756","0.7","756","529.2","BVG"
"","2/4/2019","CORPORACION FAVORITA C.A.","ACCIONES","550","2.7","550","1485","BVG"
"","2/4/2019","CORPORACION FAVORITA C.A.","ACCIONES","5000","2.75","5000","13750","BVG"
"","2/4/2019","CORPORACION FAVORITA C.A.","ACCIONES","1000","2.75","1000","2750","BVG"
"","2/4/2019","CORPORACION FAVORITA C.A.","ACCIONES","1988","2.74","1988","5447.12","BVG"
"","2/4/2019","CORPORACION FAVORITA C.A.","ACCIONES","17739","2.74","17739","48604.86","BVG"
"","2/4/2019","CORPORACION FAVORITA C.A.","ACCIONES","17739","2.74","17739","48604.86","BVG"
"","2/4/2019","CORPORACION FAVORITA C.A.","ACCIONES","17739","2.74","17739","48604.86","BVG"
"","2/4/2019","CORPORACION FAVORITA C.A.","ACCIONES","17739","2.74","17739","48604.86","BVG"
"","2/4/2019","CORPORACION FAVORITA C.A.","ACCIONES","17739","2.74","17739","48604.86","BVG"
"","2/4/2019","BANCO GUAYAQUIL S.A.","ACCIONES","11110","0.98","11110","10887.8","BVG"
"","2/4/2019","BANCO DE LA PRODUCCION S.A . PRODUBANCO","ACCIONES","15828","0.7","15828","11079.6","BVG"
"","2/4/2019","CORPORACION FAVORITA C.A.","ACCIONES","430","2.7","430","1161","BVG"
"","2/4/2019","BANCO GUAYAQUIL S.A.","ACCIONES","1524","1","1524","1524","BVG"
"","2/4/2019","BANCO GUAYAQUIL S.A.","ACCIONES","9000","1","9000","9000","BVG"
"","2/4/2019","BANCO GUAYAQUIL S.A.","ACCIONES","11848","1","11848","11848","BVG"
"","2/5/2019","CERVECERIA NACIONAL CN S A","ACCIONES","50","90","50","4500","BVG"
"","2/5/2019","CORPORACION FAVORITA C.A.","ACCIONES","16189","2.74","16189","44357.86","BVG"
"","2/5/2019","CORPORACION FAVORITA C.A.","ACCIONES","500","2.74","500","1370","BVG"
"","2/5/2019","CORPORACION FAVORITA C.A.","ACCIONES","3650","2.74","3650","10001","BVG"
"","2/5/2019","CORPORACION FAVORITA C.A.","ACCIONES","116","2.71","116","314.36","BVG"
"","2/5/2019","CORPORACION FAVORITA C.A.","ACCIONES","364","2.7","364","982.8","BVG"
"","2/5/2019","CORPORACION FAVORITA C.A.","ACCIONES","455","2.7","455","1228.5","BVG"
"","2/5/2019","BANCO PICHINCHA C.A.","ACCIONES","80000","99","800","79200","BVG"
"","2/5/2019","CORPORACION FAVORITA C.A.","ACCIONES","58","2.7","58","156.6","BVG"
"","2/6/2019","CORPORACION FAVORITA C.A.","ACCIONES","800","2.75","800","2200","BVG"
"","2/6/2019","CORPORACION FAVORITA C.A.","ACCIONES","827","2.75","827","2274.25","BVG"
"","2/6/2019","CORPORACION FAVORITA C.A.","ACCIONES","1385","2.75","1385","3808.75","BVG"
"","","","","","","","",""
"","2/7/2019","CORPORACION FAVORITA C.A.","ACCIONES","2200","2.75","2200","6050","BVG"
