FECHA,EMISOR,VALOR,VALOR NOMINAL,PRECIO,ACCIONES,VALOR EFECTIVO,PROCEDENCIA
2019-09-11,CONCLINA C A  CIA CONJU CLINICO NACIONAL,ACCIONES,1088.0,1.0,1088.0,1088.0,BVG
2019-09-11,BANCO BOLIVARIANO C.A.,ACCIONES,14000000.0,1.0,14000000.0,14000000.0,BVG
2019-09-11,BOLSA DE VALORES DE QUITO,ACCIONES,500.0,1.05,500.0,525.0,BVG
2019-09-11,CORPORACION FAVORITA C.A.,ACCIONES,1209.0,2.48,1209.0,2998.32,BVG
2019-09-12,BANCO GUAYAQUIL S.A.,ACCIONES,1475.0,0.85,1475.0,1253.75,BVG
2019-09-12,CORPORACION FAVORITA C.A.,ACCIONES,1371.0,2.48,1371.0,3400.08,BVG
2019-09-13,CORPORACION FAVORITA C.A.,ACCIONES,4018.0,2.47,4018.0,9924.46,BVG
2019-09-13,BANCO GUAYAQUIL S.A.,ACCIONES,74.0,0.85,74.0,62.9,BVG
2019-09-16,BANCO DE LA PRODUCCION S.A . PRODUBANCO,ACCIONES,175000.0,0.75,175000.0,131250.0,BVG
2019-09-16,CORPORACION FAVORITA C.A.,ACCIONES,81.0,2.47,81.0,200.07,BVG
2019-09-17,BANCO GUAYAQUIL S.A.,ACCIONES,600.0,0.85,600.0,510.0,BVG
2019-09-17,CERVECERIA NACIONAL CN S A,ACCIONES,3.0,83.0,3.0,249.0,BVG
2019-09-17,CORPORACION FAVORITA C.A.,ACCIONES,300.0,2.47,300.0,741.0,BVG
2019-09-18,BANCO GUAYAQUIL S.A.,ACCIONES,547.0,0.85,547.0,464.95,BVG
2019-09-18,CORPORACION FAVORITA C.A.,ACCIONES,4642.0,2.5,4642.0,11605.0,BVG
2019-09-19,CORPORACION FAVORITA C.A.,ACCIONES,400.0,2.5,400.0,1000.0,BVG
2019-09-19,BANCO GUAYAQUIL S.A.,ACCIONES,4415.0,0.85,4415.0,3752.75,BVG
2019-09-20,CERVECERIA NACIONAL CN S A,ACCIONES,30.0,85.0,30.0,2550.0,BVG
2019-09-20,CORPORACION FAVORITA C.A.,ACCIONES,247.0,2.5,247.0,617.5,BVG
2019-09-23,CORPORACION FAVORITA C.A.,ACCIONES,313.0,2.5,313.0,782.5,BVG
2019-09-24,BANCO GUAYAQUIL S.A.,ACCIONES,1933.0,0.86,1933.0,1662.38,BVG
2019-09-24,CORPORACION FAVORITA C.A.,ACCIONES,600.0,2.5,600.0,1500.0,BVG
2019-09-25,CORPORACION FAVORITA C.A.,ACCIONES,2193.0,2.48,2193.0,5438.64,BVG
2019-09-25,BANCO GUAYAQUIL S.A.,ACCIONES,499.0,0.85,499.0,424.15,BVG
2019-09-26,CONCLINA C A  CIA CONJU CLINICO NACIONAL,ACCIONES,1000.0,1.0,1000.0,1000.0,BVG
2019-09-26,BANCO GUAYAQUIL S.A.,ACCIONES,21675.0,0.85,21675.0,18423.75,BVG
2019-09-26,CONTINENTAL TIRE ANDINA S A,ACCIONES,1673.0,1.0,1673.0,1673.0,BVG
2019-09-26,CORPORACION FAVORITA C.A.,ACCIONES,300.0,2.47,300.0,741.0,BVG
2019-09-27,BANCO PICHINCHA C.A.,ACCIONES,1000.0,93.0,10.0,930.0,BVG
2019-09-27,BANCO GUAYAQUIL S.A.,ACCIONES,4009.0,0.85,4009.0,3407.65,BVG
2019-09-27,CORPORACION FAVORITA C.A.,ACCIONES,113.0,2.47,113.0,279.11,BVG
2019-10-01,BANCO GUAYAQUIL S.A.,ACCIONES,6171.0,0.85,6171.0,5245.35,BVG
2019-10-01,BANCO DE LA PRODUCCION S.A . PRODUBANCO,ACCIONES,1000.0,0.75,1000.0,750.0,BVG
2019-10-01,CORPORACION FAVORITA C.A.,ACCIONES,500.0,2.47,500.0,1235.0,BVG
2019-10-02,SAN CARLOS SOC. AGR. IND.,ACCIONES,2385.0,0.65,2385.0,1550.25,BVG
